Title,Authors,Publisher,Published Date,Description,ISBN-13
"Starving Hearts (Triangular Trade Trilogy, #1)",Morgan Rice,Morgan Rice,2012,"From Morgan Rice, #1 Bestselling author of THE VAMPIRE JOURNALS, comes the first book in a new trilogy of dystopian fiction. New York. 2120. American has been decimated, wiped out from the second Civil War. In this post-apocalyptic world, survivors are far and few between. And most of those who do survive are members of the violent gangs, predators who live in the big cities. They patrol the countryside looking for slaves, for fresh victims to bring back into the city for their favorite death sport: Arena One. The death stadium where opponents are made to fight to the death, in the most barbaric of ways. There is only one rule to the arena: no one survives. Ever. Deep in the wilderness, high up in the Catskill Mountains, 17 year old Brooke Moore manages to survive, hiding out with her younger sister, Bree. They are careful to avoid the gangs of slaverunners who patrol the countryside. But one day, Brooke is not as careful as she can be, and Bree is captured. The slaverunners take her away, heading to the city, and to what will be a certain death. Brooke, a Marine’s daughter, was raised to be tough, to never back down from a fight. When her sister is taken, Brooke mobilizes, uses everything at her disposal to chase down the slaverunners and get her sister back. Along the way she runs into Ben, 17, another survivor like her, whose brother was taken. Together, they team up on their rescue mission. What follows is a post-apocalyptic, action-packed thriller, as the two of them pursue the slaverunners on the most dangerous ride of their lives, following them deep into the heart of New York. Along the way, if they are to survive, they will have to make some of the hardest choices and sacrifices of their lives, encountering obstacles neither of them had expected—including their unexpected feelings for each other. Will they rescue their siblings? Will they make it back? And will they, themselves, have to fight in the arena? ARENA ONE is Book #1 in the Survival Trilogy, and is 85,000 words.",9780984975310.0
Shakespeare's Sonnets,William Shakespeare,Simon and Schuster,2011-08-23,"A bestselling, beautifully designed edition of William Shakespeare’s sonnets, complete with valuable tools for educators. The authoritative edition of Shakespeare’s Sonnets from The Folger Shakespeare Library, the trusted and widely used Shakespeare series for students and general readers, includes: -Full explanatory notes conveniently placed on the facing page of each sonnet -A brief introduction to each sonnet, providing insight into its possible meaning -An index of first lines -Illustrations from the Folger Shakespeare Library’s vast holdings of rare books -An essay by a leading Shakespeare scholar providing a modern perspective on the sonnets The Folger Shakespeare Library in Washington, DC, is home to the world’s largest collection of Shakespeare’s printed works, and a magnet for Shakespeare scholars from around the globe. In addition to exhibitions open to the public throughout the year, the Folger offers a full calendar of performances and programs. For more information, visit Folger.edu.",9781439117088.0
Set Me Free,Ann Clare LeZotte,Scholastic Inc.,2021-09-21,"A riveting standalone companion to the Schneider Family Book Award winner, Show Me a Sign by Deaf author and librarian, Ann Clare LeZotte. “Instantly captivating...will keep readers hooked until the very end...A simultaneously touching and gripping adventure.” -- Kirkus Reviews “Full of adventure and twists...a gripping tale of historical fiction.” -- Booklist ""Mary seems set to become a true hero-adventurer, an almost larger-than-life sleuth, teacher, and woman of action; and while the story’s subject matter is serious in its engagement with history’s ills, LeZotte conveys a sense of real enjoyment in having Mary disrupt...the prejudices and expectations of the status quo."" -- The Horn Book Three years after being kidnapped as a ""live specimen"" in a cruel experiment to determine the cause of her deafness, Mary Lambert has grown weary of domestic life on Martha's Vineyard, and even of her once beloved writing. So when an old acquaintance summons her to an isolated manor house outside Boston to teach a young deaf girl to communicate, Mary agrees. But can a child of eight with no prior language be taught? And is Mary up to the task? With newfound purpose, Mary arrives only to discover that there is much more to the girl's story--and the circumstances of her confinement--than she ever could have imagined. Suddenly, teaching her and freeing her from the prison of her isolation, takes on much greater meaning, and peril. Riveting and complex, delicately nuanced and fervently feminist, Set Me Free is a masterful stand-alone companion to Show Me a Sign, and a searing exposé of ableism, racism, and colonialism that will challenge you to think differently about the dignity and capacity within every human being.",9781338810219.0
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Bryan Lee O'Malley,Lion Forge,2004-08-14,Presents the epic tale of a slacker's quest to win the heart of the girl of his dreams by defeating her seven evil ex-boyfriends.,N/A
Rip it Up and Start Again,Simon Reynolds,Penguin,2006-02-17,"Rip It Up and Start Again is the first book-length exploration of the wildly adventurous music created in the years after punk. Renowned music journalist Simon Reynolds celebrates the futurist spirit of such bands as Joy Division, Gang of Four, Talking Heads, and Devo, which resulted in endless innovations in music, lyrics, performance, and style and continued into the early eighties with the video-savvy synth-pop of groups such as Human League, Depeche Mode, and Soft Cell, whose success coincided with the rise of MTV. Full of insight and anecdotes and populated by charismatic characters, Rip It Up and Start Again re-creates the idealism, urgency, and excitement of one of the most important and challenging periods in the history of popular music.",9781101201053.0
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Michael Azerrad,"Little, Brown",2012-12-01,"The definitive chronicle of underground music in the 1980s tells the stories of Black Flag, Sonic Youth, The Replacements, and other seminal bands whose DIY revolution changed American music forever. Our Band Could Be Your Life is the never-before-told story of the musical revolution that happened right under the nose of the Reagan Eighties -- when a small but sprawling network of bands, labels, fanzines, radio stations, and other subversives re-energized American rock with punk's do-it-yourself credo and created music that was deeply personal, often brilliant, always challenging, and immensely influential. This sweeping chronicle of music, politics, drugs, fear, loathing, and faith is an indie rock classic in its own right. The bands profiled include: Sonic Youth Black Flag The Replacements Minutemen Husker Du Minor Threat Mission of Burma Butthole Surfers Big Black Fugazi Mudhoney Beat Happening Dinosaur Jr.",9780316247184.0
Olio,Tyehimba Jess,N/A,2016,"With ambitious manipulations of poetic forms, Jess presents the sweat and story behind America's blues, worksongs and church hymns.",9781940696201.0
Mesaerion: The Best Science Fiction Stories 1800-1849,"Edgar Allan Poe, Nathaniel Hawthorne, Lydia Child, Thomas Charles Morgan, Percival Leigh, William Mudford, Frederick Marryat",Bottletree Books LLC,2013-09-01,"Andrew Barger, award-winning author and engineer, has extensively researched forgotten journals and magazines of the early 19th century to locate groundbreaking science fiction short stories in the English language. In doing so, he found what is possibly the first science fiction story by a female (and it is not from Mary Shelley). Andrew located the first steampunk short story, which has not been republished since 1844. There is the first voyage to the moon in a balloon, republished for the first time since 1820 that further tells of a darkness machine and a lunarian named Zuloc. Other sci-stories include the first robotic insect and an electricity gun. Once again, Andrew has searched old texts to find the very best science fiction stories from the period when the genre automated to life, some of the stories are published for the first time in nearly 200 years. Read these fantastic sci-fi short stories today! OUR OWN COUNTRY So mechanical has the age become, that men seriously talk of flying machines, to go by steam,--not your air-balloons, but real Daedalian wings, made of wood and joints, nailed to your shoulder,--not wings of feathers and wax like the wings of Icarus, who fell into the Cretan sea, but real, solid, substantial, rock-maple wings with wrought-iron hinges, and huge concavities, to propel us through the air. Knickerbocker Magazine, May 1835",9781933747491.0
Libertarianism for Beginners,Todd Seavey,Red Wheel/Weiser,2016-01-01,"Libertarianism isn't about winning elections; it is first and foremost a political philosophy - a description of how, in the opinion of libertarians, free people ought to treat one another, at least when they use the law, which they regard as potentially dangerous. If libertarians are correct, the law should intrude into people's lives as little as possible, rarely telling them what to do or how to live. A political and economic philosophy as old as John Locke and John Stuart Mill, but as alive and timely as Rand Paul, the Tea Party, and the novels of Ayn Rand, libertarianism emphasizes individual rights and calls for a radical reduction in the power and size of government. Libertarianism For Beginners lays out the history and principles of this often-misunderstood philosophy in lucid, dispassionate terms that help illuminate today's political dialogue.",9781939994660.0
It's Only the Himalayas,S. Bedford,Brindle and Glass,2016,"Sue, a disenchanted waitress, embarks upon a year-long quest around the world with her friend, Sara--who's exasperatingly perfect. Expecting a whimsical jaunt of self-discovery, Sue instead encounters an absurd series of misadventures that render her embarrassed, terrified, and queasy (and in a lot of trouble with Philippine Airlines). She swam with great white sharks in South Africa, ran from lions in Zimbabwe, climbed a Himalayan mountain without training in Nepal, and watched as her friend was attacked by a monkey in Indonesia. But interspersed in those slightly more crazy moments, Sue Bedfored and her friend Sara the Stoic experienced the sights, sounds, life, and culture of fifteen countries. Joined along the way by a few friends and their aging fathers here and there, Sue and Sara experience the trip of a lifetime. They fall in love with the world, cultivate an appreciation for home, and discover who, or what, they want to become. Whether she's fleeing from ravenous lions, dancing amid smoking skulls, trekking Annapurna underprepared, or (accidentally) drugging an Englishman, Sue's quick-witted, self-deprecating narrative might just inspire you to take your own chaotic adventure.",9781927366479.0
In Her Wake,Amanda Jennings,Orenda Books,2016-02-10,"A young woman is forced to question everything she thought she knew, when a family tragedy leads to a series of startling revelations ... and dark secrets. A stunning and emotive psychological thriller from the bestselling author of The Cliff House and The Storm. 'Beautiful, seamless writing, Jennings has a magic warmth and addictive quality that keeps you reading on and on' Lucy Atkins 'Hauntingly beautiful' Clare Mackintosh 'Thoughtful, atmospheric and deeply immersive, it wields an almost mesmeric power over the reader' Hannah Beckerman ––––––––––––––––––– A perfect life ... until she discovered it wasn't her own. A tragic family event reveals devastating news that rips apart Bella's comfortable existence. Embarking on a personal journey to uncover the truth, she faces a series of traumatic discoveries that take her to the ruggedly beautiful Cornish coast, where hidden truths, past betrayals and a 25-year-old mystery threaten not just her identity, but also her life. Chilling, complex and profoundly moving, In Her Wake is a gripping psychological thriller that questions the nature of family – and reminds us that sometimes the most shocking crimes are committed closest to home. ––––––––––––––––––– 'A gripping concept powers this emotional, sinuous thriller in which one woman's life is played out against what might have been' Fanny Blake, Woman & Home 'Heartbreaking and emotionally stunning ... one of the most mature genre novels I've read for a long time' Scottish Herald 'This mesmerising and haunting thriller is a true literary beauty' Heat 'Delicately weaves loss and grief in a very human story with a strong heart' Sarah Hilary 'Enough twists and turns to give you whiplash' Tammy Cohen 'A writer of rare and exceptional talent' Steve Cavanagh 'A gripping and powerful read ... will keep you turning the pages' Simon Kernick 'Beautifully written and emotionally charged, Amanda Jennings has created compelling exploration of self, memory and the slippery bonds that tie a family together' Eva Dolan 'An assured, evocative, rites of passage tale that will captivate readers of psychological suspense' Mari Hannah 'I have fallen head over heels in love with this compelling and beautiful book. Already one of my favourite authors, Amanda Jennings has created something outstanding ... one of my favourite reads of all time' Louise Douglas 'Moving, perceptive and beautifully written story with a devastating conclusion that will stay with you' Howard Linskey 'Gripping and hauntingly beautiful, with a totally unexpected twist in the tail, In Her Wake is simply brilliant – I loved it' Jenny Ashcroft 'A beautifully written, emotionally charged novel that stays with you long after you read the last page' Jane Isaac 'A haunting and compelling read, charged with perfectly observed emotion and a poetic gift for language' Iona Grey 'One of those novels that you know is going to stay with you for a very long time after you finish it' Louise Voss'Mesmerising storytelling' Mel Sherratt 'Amanda Jennings propels herself into my list of favourite writers' Luca Veste",9781910633304.0
How Music Works,David Byrne,Crown,2017-05-02,"*Updated with a new chapter on digital curation* How Music Works is David Byrne’s incisive and enthusiastic look at the musical art form, from its very inceptions to the influences that shape it, whether acoustical, economic, social or technological. Utilizing his incomparable career and inspired collaborations with Talking Heads, Brian Eno, and many others, Byrne taps deeply into his lifetime of knowledge to explore the panoptic elements of music, how it shapes the human experience, and reveals the impetus behind how we create, consume, distribute, and enjoy the songs, symphonies, and rhythms that provide the backbeat of life. Byrne’s magnum opus uncovers ever-new and thrilling realizations about the redemptive liberation that music brings us all.",9780804188944.0
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",America's Test Kitchen,America's Test Kitchen,2016-04-26,"Every home cook's essential step-by-step guide to canning and preserving 100 can't-fail sweet and savory recipes, from tried-and-true classics to modern updates. The experts at America's Test Kitchen show you how to easily (and safely) make homemade everything—from fruity jams with beautiful summer berries to piquant pickles from raw vegetables of all kinds—with detailed tutorials, troubleshooting tips, equipment information, instruction on doubling batches, and insight into the science behind canning (How much salt should you use? What's the perfect preserving temperature?). No matter what season it is, which jars you have, or how much time you have, this book has something for everyone, beginner or expert. Sweet Jams & Jellies: Once you’ve turned out flawless favorites like Raspberry & Strawberry, try your hand at Blueberry Earl Grey Jam. Savory Jams & Chutneys: Start with classics like Caramelized Onion Jam and then make a delicious Apple Shallot Chutney to pair with a favorite dish. Vegetable Pickles: Simply cooked in a vinegar brine or long-fermented, every pickle is perfectly crisp. Fruit in Syrup: Enjoy jewel-like fruit, from bite-size to whole, in a syrup made of the perfect ratio of water to sugar. Tomatoes: Intensify their flavor through roasting or lock in summer sweetness with fresh tomato sauce. Canning Books Are Hot More and more people are canning and preserving at home for the satisfaction of tranforming raw height-of-season produce into jewel-like jars of jams, jellies, and condiments, or umami-packed pickles. Step-by-Step Instruction This is the first canning and preserving book from ATK; we take the mystery and fear away and provide detailed and illustrated instructions for every recipe. Timelines for Every Recipe It's helpful to have snapshot of the commitment involved in making the recipe—and when they're ready to eat. Lots of Options for Both Beginner and Experienced Canners There is a lot of interest in handcrafting small batches of fruits and vegetables. The emphasis in this book is on small batch canning (2- or 4-jar yields) with double-it options for all the 4 jar recipes. Beautiful Package Completely illustrated with step photos of the recipes in progress and an easy-to follow design.",9781940352534.0
Chase Me (Paris Nights #2),Laura Florand,Laura Florand,2016-04-05,"From international bestselling author Laura Florand: A Michelin two-star chef at twenty-eight, Violette Lenoir could handle anything, including a cocky burglar who broke into her restaurant in the middle of the night. Or so she thought. Elite counterterrorist operative Chase “Smith” had been through things that made Hell Week look easy. But nothing had prepared him for a leather-clad blonde who held him at bay at knifepoint and dared him to take her on. Now if only saving the world didn’t require he ruin her life. Two people who thought they could handle anything now have to take on each other. It's a battle neither one expected. But with their futures on the line, they have nothing to lose...but their hearts. Warning: This book contains one arrogant Navy SEAL, nights of Paris passion, and a woman who wants to have it all.",9781943168040.0
Black Dust,"Robert Armstead, S. L. Gardner",Univ. of Tennessee Press,2002,"Armistead retired from the coal mines in 1987, and died in 1998. Here he recounts his experiences and those of his father, who was also a coal miner, so that this engaging memoir also stands as a rich historical document portraying the evolution of the industry. Armistead told his story to S.L. Gardner, a former teacher and librarian who has written about coal camps for the Times West Virginian. Annotation copyrighted by Book News, Inc., Portland, OR",9781572331761.0
Birdsong: A Story in Pictures,James Sturm,Astra Publishing House,2016-04-05,"Bring the thrilling story of one red bird to life. When an innocent bird meets two cruel kids, their world is forever changed. But exactly how that change unfolds is up to you, in the tradition of Kamishibai—Japanese paper theater. The wordless story by master cartoonist James Sturm is like a haiku—the elegant images leave space for children to inhabit this timeless tale—and make it their own, leading them to learn an ultimate lesson they'll never forget. James Sturm is the author of several books for kids including the Adventures in Cartooning series (with Andrew Arnold and Alexis Frederick-Frost) and the forthcoming Ape and Armadillo. James also helped start a college for cartoonists, The Center for Cartoon Studies, in the small railroad village of White River Junction, Vermont.",9781935179948.0
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Wayne Stewart,N/A,2018,N/A,9781631013317.0
Aladdin and His Wonderful Lamp,"Arthur Ransome, Thomas Mackenzie",Courier Corporation,2011-09-14,"From the elegant typography and silhouetted endpapers to the twelve color plates and the addition of myriad decorative elements — ornamental heads, initials, silhouettes, partial borders, and much more — this hardcover edition is a unique presentation and a design triumph. Ransome's charming verse rendering, combined with Mackenzie's superb achievement, brings the tale of Aladdin to life in a new idiom.",9781606600023.0
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,Andrew Dickson,Henry Holt and Company,2016-04-05,"A book about how Shakespeare became fascinated with the world, and how the world became fascinated with Shakespeare Ranging ambitiously across four continents and four hundred years, Worlds Elsewhere is an eye-opening account of how Shakespeare went global. Seizing inspiration from the playwright’s own fascination with travel, foreignness, and distant worlds—worlds Shakespeare never himself explored—Andrew Dickson takes us on an extraordinary journey: from Hamlet performed by English actors tramping through the Baltic states in the early sixteen hundreds to the skyscrapers of twenty-first-century Beijing and Shanghai, where “Shashibiya” survived Mao’s Cultural Revolution to become a revered Chinese author. En route, Dickson traces Nazi Germany’s strange love affair with, and attempted nationalization of, the Bard, and delves deep into the history of Bollywood, where Shakespearean stories helped give birth to Indian cinema. In Johannesburg, we discover how Shakespeare was enlisted in the fight to end apartheid. In nineteenth-century California, we encounter shoestring performances of Richard III and Othello in the dusty mining camps and saloon bars of the Gold Rush. No other writer’s work has been performed, translated, adapted, and altered in such a remarkable variety of cultures and languages. Both a cultural history and a literary travelogue, Worlds Elsewhere is an attempt to understand how Shakespeare has become the international phenomenon he is—and why.",9780805097351.0
Wall and Piece,BANKSY,Century,2006,Monkeys - Cops - Rats - Cows - Art - Street furniture.,N/A
The Four Agreements: A Practical Guide to Personal Freedom,"Don Miguel Ruiz, Janet Mills",Amber-Allen Publishing,2010-01-18,"Bestselling author don Miguel Ruiz reveals the source of self-limiting beliefs that rob us of joy and create needless suffering. Based on ancient Toltec wisdom, The Four Agreements offer a powerful code of conduct that can rapidly transform our lives to a new experience of freedom, true happiness, and love. • A New York Times bestseller for over 7 years • Over 5.2 million copies sold in the U.S. • Translated into 38 languages worldwide Don Miguel Ruiz’s book is a roadmap to enlightenment and freedom.” — Deepak Chopra, Author, The Seven Spiritual Laws of Success “An inspiring book with many great lessons . . .” — Wayne Dyer, Author, Real Magic “In the tradition of Castaneda, Ruiz distills essential Toltec wisdom, expressing with clarity and impeccability what it means for men and women to live as peaceful warriors in the modern world.” — Dan Millman, Author, Way of the Peaceful Warrior",9781934408018.0
